FL_MONTH,DEP_HOUR,OP_UNIQUE_CARRIER,ORIGIN,DEST,DELAY_CATEGORY
1,19,AA,MIA,SAN,NO_DELAY
10,16,UA,IAH,LGA,MINOR_DELAY
5,6,UA,EWR,MIA,NO_DELAY
3,12,MQ,GSO,ORD,SEVERE_DELAY
7,19,AS,SEA,BUR,NO_DELAY
8,16,EV,BRO,IAH,NO_DELAY
6,12,DL,OKC,ATL,NO_DELAY
12,8,AA,DFW,MTJ,NO_DELAY
12,7,NK,FLL,MCO,NO_DELAY
3,15,WN,BNA,SAN,MINOR_DELAY
6,15,NK,LAS,LAX,NO_DELAY
9,19,OH,CLT,AVL,NO_DELAY
8,13,AA,STL,DFW,NO_DELAY
3,9,EV,LIT,IAH,NO_DELAY
4,15,AA,PHL,TPA,MINOR_DELAY
10,17,MQ,ORD,GRR,MINOR_DELAY
12,14,AA,ORF,DFW,NO_DELAY
12,13,AA,MCO,CLT,NO_DELAY
6,15,AA,PHL,CLT,NO_DELAY
6,6,OH,BHM,CLT,NO_DELAY
4,12,YV,IAD,CLT,NO_DELAY
12,11,WN,MCI,IND,MINOR_DELAY
11,19,OO,MSP,LNK,NO_DELAY
7,14,OH,PHL,PHF,NO_DELAY
11,11,WN,RSW,BDL,MINOR_DELAY
6,12,WN,BWI,ORF,NO_DELAY
3,7,UA,RDU,EWR,NO_DELAY
6,7,WN,BWI,STL,MINOR_DELAY
6,10,DL,MSY,DTW,NO_DELAY
1,14,MQ,DFW,SPS,NO_DELAY
8,19,F9,OKC,DEN,NO_DELAY
1,15,DL,JFK,TPA,NO_DELAY
3,12,B6,JAX,FLL,NO_DELAY
12,12,OO,IAD,MSP,NO_DELAY
8,7,WN,DEN,HOU,NO_DELAY
9,22,DL,SLC,BIL,NO_DELAY
10,18,YX,PIT,IAH,NO_DELAY
6,20,AA,CLT,BDL,MINOR_DELAY
8,9,WN,BUR,SJC,MINOR_DELAY
6,14,OO,MSP,MDW,NO_DELAY
2,11,DL,LAS,ATL,NO_DELAY
7,12,NK,ORD,DEN,NO_DELAY
3,15,DL,MCO,LGA,NO_DELAY
10,14,YX,DTW,LGA,NO_DELAY
9,6,AS,SJC,PDX,NO_DELAY
7,20,YX,AUS,MIA,SEVERE_DELAY
11,21,WN,SMF,ONT,NO_DELAY
1,16,MQ,TLH,MIA,NO_DELAY
6,16,HA,HNL,OGG,NO_DELAY
3,12,UA,ORD,LAS,NO_DELAY
4,5,OH,RDU,DCA,NO_DELAY
6,14,9E,BUF,JFK,MAJOR_DELAY
8,10,UA,DEN,BOI,MINOR_DELAY
4,17,WN,DEN,HOU,MAJOR_DELAY
7,6,WN,RDU,FLL,NO_DELAY
9,5,NK,ORD,FLL,MINOR_DELAY
11,8,YX,EWR,BOS,NO_DELAY
6,6,DL,SFO,MSP,NO_DELAY
6,7,WN,SNA,SMF,NO_DELAY
5,6,UA,EWR,IAH,NO_DELAY
8,20,WN,CMH,MCO,NO_DELAY
3,15,WN,RDU,DAL,NO_DELAY
5,6,AS,SEA,FAI,NO_DELAY
9,5,OO,SEA,DAL,NO_DELAY
7,20,WN,DAL,LAS,MINOR_DELAY
9,12,OO,IAH,TUL,MINOR_DELAY
1,14,DL,ATL,BNA,NO_DELAY
9,5,AA,PBI,CLT,NO_DELAY
10,6,AA,DEN,DFW,MAJOR_DELAY
3,9,9E,JFK,DTW,MINOR_DELAY
12,7,OH,SAV,DCA,NO_DELAY
9,15,MQ,GRK,DFW,NO_DELAY
10,17,DL,BWI,DTW,NO_DELAY
12,15,UA,EWR,LAX,MINOR_DELAY
4,13,DL,SDF,ATL,NO_DELAY
7,21,OH,DCA,DAY,NO_DELAY
11,8,B6,LGB,OAK,NO_DELAY
11,9,9E,LGA,RDU,NO_DELAY
7,10,DL,ATL,STT,NO_DELAY
2,14,AA,MSP,PHX,NO_DELAY
6,8,AA,PHX,STL,NO_DELAY
12,17,UA,IAD,CLE,NO_DELAY
11,12,YX,CVG,MIA,NO_DELAY
5,10,G4,BLV,PIE,NO_DELAY
12,15,WN,DAL,DEN,NO_DELAY
10,5,WN,OAK,SLC,NO_DELAY
7,10,WN,RNO,LAS,NO_DELAY
1,6,DL,BWI,ATL,MINOR_DELAY
12,8,YX,CMH,IAH,NO_DELAY
10,15,WN,ATL,LGA,MINOR_DELAY
10,7,WN,DEN,STL,NO_DELAY
8,6,UA,MSY,SFO,MINOR_DELAY
4,7,WN,SMF,SEA,NO_DELAY
11,21,OO,ATL,MOB,NO_DELAY
8,18,G4,PIE,LCK,NO_DELAY
4,9,B6,LGB,AUS,NO_DELAY
8,13,NK,OAK,LAS,NO_DELAY
12,5,AA,LGA,DFW,NO_DELAY
7,18,AA,PHL,MIA,MINOR_DELAY
1,9,OO,MSP,ISN,NO_DELAY
11,15,UA,HNL,GUM,NO_DELAY
1,4,B6,PSE,MCO,MINOR_DELAY
11,11,9E,LGA,SYR,NO_DELAY
7,20,9E,IAD,JFK,MINOR_DELAY
4,19,WN,OAK,BOI,NO_DELAY
9,8,WN,PHX,BUR,NO_DELAY
10,20,DL,LAX,MSP,SEVERE_DELAY
12,8,B6,JFK,MCO,MAJOR_DELAY
9,8,OH,MYR,CLT,SEVERE_DELAY
1,12,OO,ORD,HPN,NO_DELAY
7,18,G4,BIS,SFB,MINOR_DELAY
2,15,OO,IND,IAH,NO_DELAY
2,8,YX,EWR,CLE,NO_DELAY
9,8,AA,LGA,CLT,NO_DELAY
8,18,YV,IAD,LGA,MAJOR_DELAY
6,6,DL,DTW,LAX,NO_DELAY
2,9,AS,SEA,MSY,MAJOR_DELAY
1,9,OH,CLT,STL,NO_DELAY
6,15,YX,CLT,OMA,NO_DELAY
2,10,B6,RIC,MCO,NO_DELAY
1,20,AA,CLT,PHX,MINOR_DELAY
5,22,AA,CLT,DCA,MAJOR_DELAY
3,7,AS,PDX,SAN,NO_DELAY
4,9,DL,BNA,ATL,NO_DELAY
11,16,AA,JFK,CLT,NO_DELAY
7,21,G4,SGF,VPS,NO_DELAY
6,13,YV,IAH,ORF,MAJOR_DELAY
12,7,WN,SAT,ATL,NO_DELAY
1,7,YX,MSP,LGA,NO_DELAY
